SpeciesCode,AreaRange_km2,nHUCs,Prop_CONUS,AreaHab_km2,PropHab_CONUS,ScientificName,CommonName,LogAreaRange,LogAreaHabitat
aCBSAx,1432.1382445241002,13,0.00017673006873458567,31.938299999999998,3.942665314588701e-06,Eurycea tridentifera,Comal Blind Salamander,3.155984942508218,1.5043117959518728
aCCFRx,124302.39933422716,1171,0.015339281429155496,3533.5548,0.00043620430477384254,Eleutherodactylus marnockii,Cliff Chirping Frog,5.094479511646941,3.548211830942396
aCCSAx,6213.744191275301,60,0.0007667942967252674,278.6013,3.439230272460717e-05,Eurycea latitans,Cascade Caverns Salamander,3.793353370160612,2.444983138582953
aCFNEx,77732.82369046767,777,0.009592458916782039,39078.3402,0.004824076937665352,Taricha torosa,California Newt,4.890604443994117,4.591936109363797
aCGSAx,38351.59790176999,432,0.004732699904619398,4666.715999999999,0.000576088874681374,Dicamptodon copei,Cope's Giant Salamander,4.583783463342741,3.669011372047403
aCGTRx,3605928.067283617,39042,0.44498212209588206,1105010.4789,0.13640946723576647,Hyla chrysoscelis,Cope's Gray Treefrog,6.557017058966143,6.043366396488883
aCHDSx,98006.60715084439,1151,0.012094303384774102,6395.836499999999,0.000789542421679626,Eurycea chamberlaini,Chamberlain's Dwarf Salamander,4.991255354798905,3.8058973531268268
aCHSAx,393.68741613309993,6,4.858218428226141e-05,143.0892,1.7663833883839953e-05,Plethodon cheoah,Cheoah Bald Salamander,2.5951515331765687,2.155606855580818
aCISSx,6132.643511095101,6,0.0007567862344188025,492.2307,6.076406407559941e-05,Batrachoseps pacificus,Channel Islands Slender Salamander,3.787647720000712,2.6921686967800444
aCKSAx,6730.982879438402,78,0.0008306230711196192,396.5589,4.89537332989373e-05,Plethodon punctatus,Cow Knob Salamander,3.8280784859103507,2.5983077012254365
aCLFRx,159567.01915871355,1743,0.01969103916574992,416.96459999999996,5.147274168729557e-05,Lithobates chiricahuensis,Chiricahua Leopard Frog,5.202943132142995,2.6200991852441105
aCLSAx,81592.49044190883,1040,0.010068753138295172,51628.824,0.006373387864031733,Aneides ferreus,Clouded Salamander,4.911650189272006,4.712892232811558
aCMDSx,10355.967256926098,118,0.001277956797905252,1028.3949,0.00012695155665548623,Desmognathus carolinensis,Carolina Mountain Dusky Salamander,4.015190668630467,3.0121599142297204
aCMSAx,3042.7554290378002,31,0.00037548496325162894,1511.1495,0.00018654583114342525,Plethodon caddoensis,Caddo Mountain Salamander,3.4832670459868504,3.1793074317865972
aCMTSx,3468.1206398671998,33,0.00042797628050722107,1907.0451,0.00023541768250427673,Plethodon nettingi,Cheat Mountain Salamander,3.5400941961621175,3.2803609638637967
aCOFRx,782480.8079159956,8403,0.09656043157512433,13040.407799999999,0.0016097902368363986,Rana luteiventris,Columbia Spotted Frog,5.893473694309993,4.115291172877533
aCOGSx,203668.89457368912,2399,0.025133340216793188,7598.0826,0.0009379552676379123,Dicamptodon tenebrosus,Coastal Giant Salamander,5.308924706238607,3.8807040105307857
aCOSAx,92680.58028174934,1066,0.011437056014796769,10410.6438,0.0012851555722376555,Plethodon idahoensis,Coeur D'alene Salamander,4.96698874428467,4.017477587353187
aCOSPx,1101671.6056734985,10381,0.13594951418835763,671074.245,0.08284163995188536,Scaphiopus couchii,Couch's Spadefoot,6.042052156132501,5.826770571450748
aCPSAx,38350.38848985664,439,0.004732550659634571,3176.1441,0.00039208327234716776,Plethodon kentucki,Cumberland Plateau Salamander,4.583769767715155,3.501900197916006
aCRFRx,152924.7325586365,1536,0.01887136147620081,30250.9899,0.003734373107231854,Lithobates virgatipes,Carpenter Frog,5.184477729657596,4.4807395905942276
aCRLFx,92565.34170325103,1092,0.011422835235499274,3850.3907999999997,0.0004753165401656144,Rana draytonii,California Red-legged Frog,4.966448408663094,3.5855048109812677
aCSFRx,152021.70357726395,1758,0.01875992504570431,11104.5087,0.0013708106344745485,Rana cascadae,Cascades Frog,5.18190559499064,4.045499348692781
